"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"100634-Z_54633_STOP","527A08","TV 53 - CL 1","4.612213","-74.120841","0","","0","","","","0","",""
"100634-Z_54546_STOP","476A08","TV 53 - CL 1","4.612571","-74.121129","0","","0","","","","0","",""
"100634-Z_58256_STOP","482A08","TV 53 - CL 2","4.613628","-74.118497","0","","0","","","","0","",""
"100634-Z_54549_STOP","479A08","TV 53 - CL 2","4.613333","-74.11796","0","","0","","","","0","",""
"100634-Z_54694_STOP","550A08","TV 60 - CL 1","4.618311","-74.123851","0","","0","","","","0","",""
"100634-Z_52607_STOP","435A11","Vereda Quiba","4.542747","-74.170184","0","","0","","","","0","",""
"100634-Z_56840_STOP","012A00","AC 1 - KR 13a","4.591378","-74.088114","0","","0","","","","0","",""
"100634-Z_57608_STOP","359A00","AC 1 - KR 19a","4.593393","-74.093426","0","","0","","","","0","",""
"100634-Z_57609_STOP","360A00","AC 1 - KR 19a","4.592738","-74.091144","0","","0","","","","0","",""
"100634-Z_57607_STOP","358A00","AC 1 - KR 24b","4.594727","-74.098041","0","","0","","","","0","",""
"100634-Z_52058_STOP","112A11","AC 1 - KR 25a","4.594793","-74.100735","0","","0","","","","0","",""
"100634-Z_57606_STOP","357A00","AC 1 - KR 26a","4.594977","-74.101688","0","","0","","","","0","",""
